id_str,created_at,state,sentiment,Tweet,Evaluator,Rating
1.23E+18,Mon Mar 02 02:53:16 +0000 2020,Ohio,positive,best set info ive found corona virus worth watching full mins,Allen,Positive
1.23E+18,Mon Mar 02 02:07:25 +0000 2020,Michigan,positive,question citizens get together amp file massive class action lawsuits fox news lying amp gaslighting americans something abt this surely god legal pandemic serious need truth,Allen,Negative
1.23E+18,Mon Mar 02 02:52:45 +0000 2020,Texas,negative,erinmperrine realdonaldtrump administration took unprecedented early steps response coronavirus believe dems false apocalyptic spin try politicize virus sick politics brandonbeckham christian voice,Allen,Positive
1.23E+18,Mon Mar 02 02:53:56 +0000 2020,New York,positive,stateowned newspaper iran says masoumeh ebtekar vice president islamic republic spokeswoman hostagetakers new coronavirus state media also reported iranian cleric hadi khosroshahi died coronavirus qom,Megha,
1.24E+18,Mon Mar 16 01:52:42 +0000 2020,Texas,positive,new cdc recommends people cancel postpone inperson events consist people united states weeks,Megha,
1.24E+18,Wed Mar 11 21:10:25 +0000 2020,Texas,positive,facts immigrants different countries affected china virus apprehended deemed inadmissible border includes china nearly people infected border security health security rt close border,Megha,
1.23E+18,Mon Mar 02 02:09:22 +0000 2020,Maryland,positive,adamserwer wonder cdc whistleblowers couple issues completely headscratching hope attributed staff budget cuts rather actual malice,Megha,
1.23E+18,Mon Mar 02 02:09:44 +0000 2020,Florida,neutral,arent blacks dying too yelled abyss,Megha,
1.24E+18,Mon Mar 16 01:28:59 +0000 2020,Kentucky,neutral,joe biden said cant deal pandemic changing healthcare system sir may beg differ,Megha,
1.23E+18,Mon Mar 02 02:11:41 +0000 2020,New Jersey,positive,first positive coronavirus case confirmed new york state,Megha,
1.24E+18,Mon Mar 16 01:47:54 +0000 2020,Louisiana,negative,orang yang pergi travel musim covid ni sumpah selfish gila,Megha,
1.23E+18,Mon Mar 02 02:53:57 +0000 2020,,neutral,infectiousdz im imagining people getting planes wearing ns contaminating hands pushing order drink eat,Megha,
1.24E+18,Mon Mar 16 01:51:55 +0000 2020,California,neutral,cutenshsjsjfhdkkdk,Megha,
1.24E+18,Mon Mar 16 01:49:05 +0000 2020,California,negative,oakland schools closing due coronavirus steph ayesha curry looking help donate million meals kids rely education system eat via eatlearnplay,Megha,
1.24E+18,Mon Mar 16 01:06:49 +0000 2020,New York,negative,needless say stand reporting white house google,Megha,
1.23E+18,Mon Mar 02 02:52:29 +0000 2020,New York,neutral,punish trump november callin coronavirus hoax people dyin,Megha,
1.23E+18,Mon Mar 02 02:30:38 +0000 2020,California,positive,sleepy joe biden also said guns killed million americans last year wants win georgia super tuesday not up got speaking location wrong again,Megha,
1.23E+18,Mon Mar 02 02:32:42 +0000 2020,Arizona,negative,nd coronavirususa death washington dont feel safer get info twitter news sources trump admin completely incompetent handle,Megha,
1.24E+18,Mon Mar 16 01:29:36 +0000 2020,Tennessee,positive,yes serious want part insanity obsessive paranoid panic stresses actual virus calm smart actions covid,Megha,
1.24E+18,Mon Mar 16 01:03:06 +0000 2020,Illinois,positive,corona came becoming gym babe,Megha,
1.24E+18,Mon Mar 16 01:28:31 +0000 2020,Washington,neutral,people psychopaths unfit role public life,Megha,
1.23E+18,Mon Mar 02 02:53:11 +0000 2020,Florida,positive,virginia dept health willing volunteer support covid response needed please register become virginia medical reserve corps volunteer email vamrcvdhvirginiagov,Megha,
1.24E+18,Mon Mar 16 01:28:38 +0000 2020,Georgia,positive,cdcgov issued new guidance recommending next weeks organizers cancel postpone inperson events consisting people more read cdcs latest covid guidance,Megha,
1.24E+18,Mon Mar 16 01:26:37 +0000 2020,Nevada,positive,step medical bill testing positive corona im,Megha,
1.24E+18,Wed Mar 11 21:10:14 +0000 2020,California,neutral,american scientists isnt coronavirus affecting africa africa,Megha,
1.24E+18,Mon Mar 16 01:51:00 +0000 2020,Pennsylvania,positive,need comprehensive response coronavirus outbreak plan mounts decisive public health response curb spread disease provide treatment need decisive economic response delivers real relief,Megha,
1.23E+18,Mon Mar 02 02:52:08 +0000 2020,Texas,neutral,corona virus ni vergas,Megha,
1.24E+18,Mon Mar 16 01:26:51 +0000 2020,California,neutral,president trump announced today extend european travel ban include uk ireland part continuing efforts combat coronavirus nextrevfnc stevehiltonx,Megha,
1.24E+18,Mon Mar 16 01:25:22 +0000 2020,Massachusetts,positive,coronavirus got stressed out monterey aquarium closed public live streaming instead see birds sharks otters jellyfish penguins turtles plenty,Srushti,Neutral
1.23E+18,Mon Mar 02 02:52:38 +0000 2020,New York,positive,dog hong kong tests positive coronavirus confirms,Srushti,Negative
1.24E+18,Mon Mar 16 01:25:28 +0000 2020,Arizona,positive,clarify isolation tested positive virus quarantine contact someone tested positive virus amp waiting see develop symptoms social distancing something everyone reduce risk transmission,Srushti,Negative
1.23E+18,Mon Mar 02 02:54:07 +0000 2020,Texas,negative,wrong again trump misidentifies first coronavirus victim woman white house press conference via occupydemocrats,Srushti,Negative
1.24E+18,Mon Mar 16 01:04:51 +0000 2020,Texas,positive,staying home due social distancing job shutting means money might issue reply venmo handle youre someone blessed ok currently consider helping folks reply here friendly texan thing do,Srushti,Positive
1.24E+18,Mon Mar 16 01:03:53 +0000 2020,Connecticut,negative,watch this shows right thing stay home fullest extent possible us help slow spread virus protecting elderly vulnerable other,Srushti,Positive
1.24E+18,Mon Mar 16 01:49:28 +0000 2020,Arizona,positive,great idea businesses gov agencies serve public brainstorm find new ways serve vulnerable proactively implement social distancing practices customers,Srushti,Positive
1.24E+18,Mon Mar 16 01:27:17 +0000 2020,Washington,positive,good advice nyc everywhere stay home stay home wash hands,Srushti,Positive
1.24E+18,Mon Mar 16 01:02:51 +0000 2020,New Jersey,negative,trump tells us relax were great virus expert says worst yet come,Srushti,Neutral
1.23E+18,Mon Mar 02 02:07:23 +0000 2020,Virginia,negative,coronavirus spreading concern growing economy taken hit tonight im addressing nation donald trump yet failed lead ive led crises before president ill trust science let experts jobs,Srushti,Neutral
1.23E+18,Mon Mar 02 02:54:44 +0000 2020,Virginia,negative,speakerpelosi hes late late anemic hopefully make loss time speaker pelosi knocked pres trumps inadequate response spread coronavirus wtpteam onevoice,Srushti,Neutral
1.24E+18,Mon Mar 16 01:29:03 +0000 2020,Washington,neutral,,Srushti,Neutral
1.24E+18,Mon Mar 16 01:49:44 +0000 2020,California,neutral,realdonaldtrump lie airports chaos tests need them resign thrown hell office today trumpistheworstpresidentever trumpplague covid,Srushti,Negative
1.23E+18,Mon Mar 02 02:55:42 +0000 2020,Texas,neutral,coronavirus houston methodist hospital media wont say bc rodeo lose money joke,Srushti,Negative
1.23E+18,Mon Mar 02 02:55:54 +0000 2020,Indiana,neutral,coronavirus donations btstwt fans reached almost million us according korea disaster relief association since suga whose hometown affected daegu donated million last month donations pouring in association said,Srushti,Neutral
1.24E+18,Mon Mar 16 01:53:19 +0000 2020,Michigan,neutral,birdieglad pannlewis graceslick gdijkhuyzen haldonahue veteransi daogtriple dltrunnell robinvolpi jhwilsh flints asoldiersvoice shawbear mahogany henleycarol mzdivah kingivan badshoehabit rk jamsride,Srushti,Neutral
1.23E+18,Mon Mar 02 02:09:06 +0000 2020,New Jersey,positive,today learned cdc mistakenly released patient texas center infectious disease later returned positive covid reading fact cdc allowed public exposed patient positive covid reading unacceptable full,Srushti,Negative
1.24E+18,Mon Mar 16 01:06:21 +0000 2020,Illinois,positive,protect ya neck coronavirus making thousand prints distributing across new york city feel free city share rt world wutang,Srushti,Neutral
1.23E+18,Mon Mar 02 02:29:03 +0000 2020,Tennessee,positive,new yorks first confirmed coronavirus case woman recently traveled iran gov cuomo said isolation manhattan home,Srushti,Negative
1.23E+18,Mon Mar 02 02:31:35 +0000 2020,,positive,san antonio mayor cdc released patient later tested positive covid,Srushti,Negative
1.24E+18,Mon Mar 16 01:52:00 +0000 2020,New Jersey,negative,bernie sanders responded justification cubas human rights abuses justifying chinas human rights abuses yes really hes bad this demdebate,Srushti,Negative
1.23E+18,Mon Mar 02 02:09:53 +0000 2020,New York,positive,aint niggas dying didnt right,Srushti,Negative
1.24E+18,Mon Mar 16 01:50:09 +0000 2020,,positive,know actors much smarter us bs really care anyones opinion paying for,Srushti,Neutral
1.23E+18,Mon Mar 02 02:07:37 +0000 2020,New York,neutral,breaking second person died coronavirus covid seattle area five others critical condition,Srushti,Negative
1.24E+18,Mon Mar 16 01:27:44 +0000 2020,California,neutral,vincentcrypt lady gaga too john legend chrissy teigen people epstein flight log means corona connected pedofile wion,Srushti,Neutral
1.24E+18,Mon Mar 16 01:07:28 +0000 2020,California,positive,equinox refused close inventible happened member infected covid came gym almost certainly spreading virus,Varun,Negative
1.23E+18,Mon Mar 02 02:32:27 +0000 2020,Wisconsin,negative,hoes mad,Varun,Negative
1.23E+18,Mon Mar 02 02:30:34 +0000 2020,New York,neutral,heres whats gonna happen coronavirus us testing cases starting now find hundreds cases suddenly testing backlog media use political stick amplifying panic happens,Varun,Negative
1.24E+18,Mon Mar 16 01:50:06 +0000 2020,Florida,positive,beauxhandsome wild part came china too,Varun,Negative
1.23E+18,Mon Mar 02 02:10:21 +0000 2020,Florida,positive,corona virus made new york stop worrying move back home months,Varun,Neutral
1.24E+18,Mon Mar 16 01:51:36 +0000 2020,Missouri,positive,we well control we pretty much shut down the numbers going get progressively better were going substantially down up one day like miracle disappear none true,Varun,Positive
1.24E+18,Wed Mar 11 21:10:45 +0000 2020,Texas,positive,jrehling world health organization estimates spanish flu death rate among infected people thats true corona could potentially tragedybut medical practices improved last years lets keep ol fingers crossed,Varun,Positive
1.24E+18,Mon Mar 16 01:04:56 +0000 2020,California,positive,breaking st clinical trial begin evaluating possible coronavirus vaccine could take year develop successful official says,Varun,Positive
1.23E+18,Mon Mar 02 02:56:05 +0000 2020,South Carolina,positive,nancy pelosi lot nerve wants lecture trump coronaviruswhile ignoring cesspool third world disease drugaddled homeless tent cities public spaces littered used needles human feces district pelosi utter fraud,Varun,Negative
1.24E+18,Mon Mar 16 01:06:37 +0000 2020,West Virginia,positive,us running food nations biggest retailers say food supply chain remains intact ramping meet unprecedented stockpiling brought coronavirus pandemic,Varun,Positive
1.23E+18,Mon Mar 02 02:33:42 +0000 2020,New York,neutral,,Varun,Neutral
1.24E+18,Mon Mar 16 01:30:37 +0000 2020,North Carolina,positive,great idea businesses gov agencies serve public brainstorm find new ways serve vulnerable proactively implement social distancing practices customers,Varun,Positive
1.24E+18,Mon Mar 16 01:07:23 +0000 2020,Minnesota,neutral,never know slapshot covid,Varun,Neutral
1.24E+18,Mon Mar 16 01:53:01 +0000 2020,New York,neutral,statement chair petitioning covid virus,Varun,Negative
1.24E+18,Mon Mar 16 01:06:10 +0000 2020,Mississippi,neutral,mississippi psc temporarily suspends disconnection utility services response covid coronavirus danemaxwellms brandonpresley brentgbailey,Varun,Negative
1.24E+18,Wed Mar 11 21:10:14 +0000 2020,California,neutral,coronavirus ya es una pandemia opsoms qu es una pandemia,Varun,Neutral
1.24E+18,Mon Mar 16 01:29:46 +0000 2020,Ohio,positive,ah yes next game looking great residentevil coronapocalypse coronavirusupdates,Varun,Neutral
1.23E+18,Mon Mar 02 02:31:24 +0000 2020,California,neutral,who cdcgov bnodesk elonmusk mar mainland china exhubei coronavirus vs international week shift,Varun,Positive
1.24E+18,Mon Mar 16 01:27:39 +0000 2020,North Carolina,neutral,coronavirus deaths china italy iran spain france korea us uk japan netherlands switzerland germany philippines iraq australia indonesia san marino belgium greece hong kong,Varun,Negative
1.24E+18,Mon Mar 16 01:03:15 +0000 2020,Iowa,negative,disastrous communications anthrax attacks cdc wrote page manual communicate public health crises trump breaking every rule playbook via carolynyjohnson thewanreport,Varun,Negative
1.24E+18,Mon Mar 16 01:47:49 +0000 2020,New York,negative,coronavirus updatemeeting mayor excused restroom forgot turn microphone dead,Varun,Neutral
1.23E+18,Mon Mar 02 02:11:35 +0000 2020,Pennsylvania,neutral,breaking second person died coronavirus covid seattle area five others critical condition,Varun,Negative
1.23E+18,Mon Mar 02 02:10:47 +0000 2020,Texas,neutral,florida,Varun,Neutral
1.24E+18,Mon Mar 16 01:05:53 +0000 2020,Texas,positive,coronavirus closing schools china month ago teacher thick passes best practices online learning,Varun,Positive
1.24E+18,Mon Mar 16 01:06:23 +0000 2020,California,positive,norway developed socialist country called students home usa citing poorly developed infrastructure say gop handling coronavirus shameful coronapocolypse demcast,Varun,Negative
